JobID|JobIDRaw|ElapsedRaw|Account|AllocCPUS|CPUTimeRAW|NNodes|AllocNodes|NCPUS|Partition|TotalCPU|User|ExitCode|State|Reservation|ReservationId|AllocTRES
244494_381|244825|1877|f202411063cpcaa3a|192|360384|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_382|244826|2166|f202411063cpcaa3a|192|415872|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_386|244830|1964|f202411063cpcaa3a|192|377088|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_388|244832|3276|f202411063cpcaa3a|192|628992|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_390|244834|2430|f202411063cpcaa3a|192|466560|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_391|244835|1822|f202411063cpcaa3a|192|349824|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_392|244836|2136|f202411063cpcaa3a|192|410112|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_393|244837|2222|f202411063cpcaa3a|192|426624|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_396|244840|1567|f202411063cpcaa3a|192|300864|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_401|244845|2560|f202411063cpcaa3a|192|491520|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_402|244846|1805|f202411063cpcaa3a|192|346560|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_405|244849|1961|f202411063cpcaa3a|192|376512|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_406|244850|17553|f202411063cpcaa3a|192|3370176|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_407|244851|2050|f202411063cpcaa3a|192|393600|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_409|244853|1561|f202411063cpcaa3a|192|299712|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_410|244854|1258|f202411063cpcaa3a|192|241536|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_412|244856|1509|f202411063cpcaa3a|192|289728|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_414|244858|1982|f202411063cpcaa3a|192|380544|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_416|244860|1669|f202411063cpcaa3a|192|320448|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_417|244861|1744|f202411063cpcaa3a|192|334848|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_419|244863|1264|f202411063cpcaa3a|192|242688|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_420|244864|1150|f202411063cpcaa3a|192|220800|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_422|244866|1027|f202411063cpcaa3a|192|197184|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_423|244867|2536|f202411063cpcaa3a|192|486912|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_424|244868|1299|f202411063cpcaa3a|192|249408|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_425|244869|2492|f202411063cpcaa3a|192|478464|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_426|244870|1338|f202411063cpcaa3a|192|256896|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_427|244871|1468|f202411063cpcaa3a|192|281856|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_428|244872|1233|f202411063cpcaa3a|192|236736|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_429|244873|910|f202411063cpcaa3a|192|174720|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_430|244874|1541|f202411063cpcaa3a|192|295872|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_431|244875|1530|f202411063cpcaa3a|192|293760|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_432|244876|1951|f202411063cpcaa3a|192|374592|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_433|244877|1723|f202411063cpcaa3a|192|330816|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_434|244878|889|f202411063cpcaa3a|192|170688|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_435|244879|1443|f202411063cpcaa3a|192|277056|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_436|244880|2077|f202411063cpcaa3a|192|398784|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_437|244881|1148|f202411063cpcaa3a|192|220416|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_438|244882|3308|f202411063cpcaa3a|192|635136|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_439|244883|1503|f202411063cpcaa3a|192|288576|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_440|244884|1195|f202411063cpcaa3a|192|229440|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_441|244885|1301|f202411063cpcaa3a|192|249792|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_442|244886|1884|f202411063cpcaa3a|192|361728|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_443|244887|1101|f202411063cpcaa3a|192|211392|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_444|244888|1880|f202411063cpcaa3a|192|360960|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_445|244889|2723|f202411063cpcaa3a|192|522816|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_446|244890|1310|f202411063cpcaa3a|192|251520|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_447|244891|701|f202411063cpcaa3a|192|134592|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_448|244892|1239|f202411063cpcaa3a|192|237888|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_449|244893|1530|f202411063cpcaa3a|192|293760|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_450|244894|1174|f202411063cpcaa3a|192|225408|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_451|244895|2242|f202411063cpcaa3a|192|430464|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_452|244896|2115|f202411063cpcaa3a|192|406080|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_453|244897|3021|f202411063cpcaa3a|192|580032|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_454|244898|1028|f202411063cpcaa3a|192|197376|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_455|244899|878|f202411063cpcaa3a|192|168576|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_456|244900|3237|f202411063cpcaa3a|192|621504|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_457|244901|1081|f202411063cpcaa3a|192|207552|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_458|244902|1983|f202411063cpcaa3a|192|380736|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_459|244903|1016|f202411063cpcaa3a|192|195072|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_460|244904|1093|f202411063cpcaa3a|192|209856|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_461|244905|880|f202411063cpcaa3a|192|168960|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_462|244906|1219|f202411063cpcaa3a|192|234048|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_463|244907|967|f202411063cpcaa3a|192|185664|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_464|244908|665|f202411063cpcaa3a|192|127680|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_465|244909|1162|f202411063cpcaa3a|192|223104|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_466|244910|1490|f202411063cpcaa3a|192|286080|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_467|244911|761|f202411063cpcaa3a|192|146112|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_468|244912|2859|f202411063cpcaa3a|192|548928|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_469|244494|2277|f202411063cpcaa3a|192|437184|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244657_140|244913|2737|f202411063cpcaa3a|528|1445136|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_141|244914|2448|f202411063cpcaa3a|528|1292544|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_142|244915|3136|f202411063cpcaa3a|528|1655808|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_143|244916|2551|f202411063cpcaa3a|528|1346928|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_144|244917|4791|f202411063cpcaa3a|528|2529648|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_145|244918|2456|f202411063cpcaa3a|528|1296768|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_146|244919|2606|f202411063cpcaa3a|528|1375968|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_147|244920|2824|f202411063cpcaa3a|528|1491072|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_148|244921|5834|f202411063cpcaa3a|528|3080352|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_149|244922|2746|f202411063cpcaa3a|528|1449888|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_150|244923|1805|f202411063cpcaa3a|528|953040|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_151|244924|2771|f202411063cpcaa3a|528|1463088|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
244657_152|244925|2103|f202411063cpcaa3a|528|1110384|11|11|528|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=528,cpu=528,mem=319G,node=11
